mets,metNames,metHMDB,metKeggID,metEHMNID,metFormulas,metCHEBIID,metPubChemID,metHepatoNetID,metInchiString,metCharge,b,c
nh4[c],Ammonium,HMDB00051,C00014,C01342,H4N,28938,223,HC00765,InChI=1S/H3N/h1H3/p+1,,0,0
2425dhvitd2[m],"24R,25-Dihyoxyvitamin D2",,,,C28H44O3,,,,,,0,0
h[m],proton,HMDB01362,C00282,C00080,H,15378,1038,HC00083,InChI=1S/p+1/i/hH,,0,0
nadph[m],Nicotinamide adenine dinucleotide phosphate - reduced,HMDB00221,C00005,C00005,C21H26N7O17P3,57783,22833512,HC00015,"'InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
o2[m],O2,HMDB01377,C00007,C00007,O2,15379,977,HC00017,InChI=1S/O2/c1-2,,0,0
1a2425thvitd2[m],"1-alpha,24R,25-Trihydroxyvitamin D2",HMDB06227,,,C28H44O4,,,,"'InChI=1/C28H44O4/c1-18(13-15-28(6,32)26(3,4)31)23-11-12-24-20(8-7-14-27(23,24)5)9-10-21-16-22(29)17-25(30)19(21)2/h9-10,13,15,18,22-25,29-32H,2,7-8,11-12,14,16-17H2,1,3-6H3/b15-13+,20-9+,21-10-/t18-,22-,23-,24+,25+,27-,28-/m1/s1",,0,0
h2o[m],Water,HMDB02111,C00001,C00001,H2O,15377,962,HC00011,InChI=1S/H2O/h1H2,,0,0
nadp[m],Nicotinamide adenine dinucleotide phosphate,HMDB00217,C00006,C00006,C21H25N7O17P3,18009,5886,HC00016,"'InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p-3/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
2425dhvitd3[m],"(24R)-24,25-dihydroxycalciol",,,CE1337,C27H44O3,28818,,,"'InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1",,0,0
1a2425thvitd3[m],calcitetrol,HMDB06228,C18231,,C27H44O4,47799,,,"'InChI=1S/C27H44O4/c1-17(8-13-25(30)26(3,4)31)22-11-12-23-19(7-6-14-27(22,23)5)9-10-20-15-21(28)16-24(29)18(20)2/h9-10,17,21-25,28-31H,2,6-8,11-16H2,1,3-5H3/b19-9+,20-10-/t17-,21-,22-,23+,24+,25-,27-/m1/s1",,0,0
1a25dhvitd2[m],"1-alpha,25-Dihydroxyvitamin D2",HMDB06225,,,C28H44O3,,,,"'InChI=1/C28H44O3/c1-18(9-10-19(2)27(4,5)31)24-13-14-25-21(8-7-15-28(24,25)6)11-12-22-16-23(29)17-26(30)20(22)3/h9-12,18-19,23-26,29-31H,3,7-8,13-17H2,1-2,4-6H3/b10-9+,21-11+,22-12-/t18-,19+,23-,24-,25+,26+,28-/m1/s1",,0,0
1a25dhvitd3[m],calcitriol,HMDB01903,C01673,C01673,C27H44O3,17823,5280453,,"'InChI=1S/C27H44O3/c1-18(8-6-14-26(3,4)30)23-12-13-24-20(9-7-15-27(23,24)5)10-11-21-16-22(28)17-25(29)19(21)2/h10-11,18,22-25,28-30H,2,6-9,12-17H2,1,3-5H3/b20-10+,21-11-/t18-,22-,23-,24+,25+,27-/m1/s1",,0,0
1mncam[c],1-methylnicotinamide,HMDB00699,C02918,C02918,C7H9N2O,16797,457,,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1",,0,0
atp[c],ATP,HMDB00538,C00002,,C10H12N5O13P3,15422,5957,,"'InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/p-4/t4-,6-,7-,10-/m1/s1",,0,0
1mncam[e],1-methylnicotinamide,HMDB00699,C02918,C02918,C7H9N2O,16797,457,,"InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1",,0,0
adp[c],ADP,HMDB01341,C00008,,C10H12N5O10P2,16761,6022,,"'InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,0,0
h[c],proton,HMDB01362,C00282,,H,15378,1038,,InChI=1S/p+1/i/hH,,0,0
pi[c],hydrogenphosphate,HMDB00973,C00009,,HO4P,43474,1004,,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",,0,0
1pipdn2c[x],1-piperideine-2-carboxylate,HMDB01084,C04092,C04092,C6H9NO2,30912,,,"InChI=1S/C6H9NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H2,(H,8,9)",,0,0
h[x],proton,HMDB01362,C00282,C00080,H,15378,1038,HC00083,InChI=1S/p+1/i/hH,,0,0
nadh[x],Nicotinamide adenine dinucleotide - reduced,HMDB01487,C00004,C00004,C21H27N7O14P2,16908,439153,HC00014,"'InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
Lpipecol[x],L-pipecolic acid,HMDB00716,C00408,C00408,C6H11NO2,30913,439227,,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1",,0,0
nad[x],Nicotinamide adenine dinucleotide,HMDB00902,C00003,C00003,C21H26N7O14P2,15846,5893,HC00013,"'InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
2425dhvitd2[c],"24R,25-Dihyoxyvitamin D2",,,,C28H44O3,,,,,,0,0
2425dhvitd2[e],"24R,25-Dihyoxyvitamin D2",,,,C28H44O3,,,,,,0,0
2425dhvitd3[c],"(24R)-24,25-dihydroxycalciol",,,CE1337,C27H44O3,28818,,,"'InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1",,0,0
2425dhvitd3[e],"(24R)-24,25-dihydroxycalciol",,,CE1337,C27H44O3,28818,,,"'InChI=1S/C27H44O3/c1-18-8-12-22(28)17-21(18)11-10-20-7-6-16-27(5)23(13-14-24(20)27)19(2)9-15-25(29)26(3,4)30/h10-11,19,22-25,28-30H,1,6-9,12-17H2,2-5H3/b20-10+,21-11-/t19-,22+,23-,24+,25-,27-/m1/s1",,0,0
25hvitd2[m],25-Hydroxyvitamin D2,HMDB01438,,,C28H44O2,,,,"'InChI=1/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1",,0,0
25hvitd3[m],calcidiol,HMDB03550,C01561,C01561,C27H44O2,17933,,,"'InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3/b21-11+,22-12-/t20-,23+,24-,25+,27-/m1/s1",,0,0
24nph[e],2-hydroxy-4-nitrophenolate,HMDB02916,C02235,,C6H5NO4,16318,,,"InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H",,0,0
24nph[c],2-hydroxy-4-nitrophenolate,HMDB02916,C02235,,C6H5NO4,16318,,,"InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H",,0,0
25hvitd2[c],25-Hydroxyvitamin D2,HMDB01438,,,C28H44O2,,,,"'InChI=1/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1",,0,0
25hvitd2[e],25-Hydroxyvitamin D2,HMDB01438,,,C28H44O2,,,,"'InChI=1/C28H44O2/c1-19-10-14-24(29)18-23(19)13-12-22-8-7-17-28(6)25(15-16-26(22)28)20(2)9-11-21(3)27(4,5)30/h9,11-13,20-21,24-26,29-30H,1,7-8,10,14-18H2,2-6H3/b11-9+,22-12+,23-13-/t20-,21+,24+,25?,26+,28-/m1/s1",,0,0
25hvitd3[c],calcidiol,HMDB03550,C01561,,C27H44O2,17933,,,"'InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3/b21-11+,22-12-/t20-,23+,24-,25+,27-/m1/s1",,0,0
25hvitd3[e],calcidiol,HMDB03550,C01561,,C27H44O2,17933,,,"'InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3/b21-11+,22-12-/t20-,23+,24-,25+,27-/m1/s1",,0,0
2amac[c],2-aminoacrylic acid,HMDB03609,C02218,C02218,C3H5NO2,17123,,HC00906,"InChI=1S/C3H5NO2/c1-2(4)3(5)6/h1,4H2,(H,5,6)",,0,0
pyr[c],pyruvate,HMDB00243,C00022,,C3H3O3,32816,1060,,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",,0,0
nadph[c],Nicotinamide adenine dinucleotide phosphate - reduced,HMDB00221,C00005,C00005,C21H26N7O17P3,57783,22833512,HC00015,"'InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
paps[c],"'(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate",HMDB01134,C00053,C00053,C10H11N5O13P2S,17980,10214,HC00058,"'InChI=1S/C10H15N5O13P2S/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(27-29(17,18)19)4(26-10)1-25-30(20,21)28-31(22,23)24/h2-4,6-7,10,16H,1H2,(H,20,21)(H2,11,12,13)(H2,17,18,19)(H,22,23,24)/p-4/t4-,6-,7-,10-/m1/s1",,0,0
Lcyst[c],L-cysteate(1-),HMDB02757,C57006,C00506,C3H6NO5S,17285,72886,,"'InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/p-1/t2-/m0/s1",,0,0
nadp[c],Nicotinamide adenine dinucleotide phosphate,HMDB00217,C00006,C00006,C21H25N7O17P3,18009,5886,HC00016,"'InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p-3/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
pap[c],"adenosine 3',5'-bismonophosphate(4-)",HMDB00061,C00054,C00054,C10H11N5O10P2,17985,159296,HC00059,"'InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/p-4/t4-,6-,7-,10-/m1/s1",,0,0
L2aadp[c],L-2-aminoadipate(1-),HMDB00510,C00956,C00956,C6H10NO4,37023,92136,HC00599,"'InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/p-1/t4-/m0/s1",,0,0
akg[m],2-Oxoglutarate,HMDB00208,C00026,C00026,C5H4O5,30915,51,HC00035,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",,0,0
L2aadp[m],L-2-aminoadipate(1-),HMDB00510,C00956,C00956,C6H10NO4,37023,92136,HC00599,"'InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/p-1/t4-/m0/s1",,0,0
akg[c],2-Oxoglutarate,HMDB00208,C00026,C00026,C5H4O5,30915,51,HC00035,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",,0,0
2dr1p[c],2-Deoxy-D-ribose 1-phosphate,HMDB01351,C00672,C00672,C5H9O7P,28542,5460448,HC00489,"'InChI=1S/C5H11O7P/c6-2-4-3(7)1-5(11-4)12-13(8,9)10/h3-7H,1-2H2,(H2,8,9,10)/p-2/t3-,4+,5?/m0/s1",,0,0
drib[c],2-deoxy-D-ribose,HMDB03224,C01801,C01801,C5H10O4,28816,22833604,,"InChI=1S/C5H10O4/c6-2-1-4(8)5(9)3-7/h2,4-5,7-9H,1,3H2/t4-,5+/m0/s1",,0,0
2hb[c],2-Hydroxybutyrate,HMDB00008,C05984,C05984,C4H7O3,1148,,HC01669,"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)",,0,0
nad[c],Nicotinamide adenine dinucleotide,HMDB00902,C00003,C00003,C21H26N7O14P2,15846,5893,HC00013,"'InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
2obut[c],2-Oxobutanoate,HMDB00005,C00109,C00109,C4H5O3,30831,58,HC00108,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",,0,0
nadh[c],Nicotinamide adenine dinucleotide - reduced,HMDB01487,C00004,C00004,C21H27N7O14P2,16908,439153,HC00014,"'InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/p-2/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
2hb[e],2-Hydroxybutyrate,HMDB00008,C05984,C05984,C4H7O3,1148,,HC01669,"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)",,0,0
h[e],proton,HMDB01362,C00282,,H,15378,1038,,InChI=1S/p+1/i/hH,,0,0
hco3[e],Bicarbonate,HMDB00595,C00288,C00288,CHO3,17544,769,HC00253,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1",,0,0
na1[e],Sodium,HMDB00588,C01330,,Na,29101,923,,InChI=1S/Na/q+1,,0,0
hco3[c],Bicarbonate,HMDB00595,C00288,C00288,CHO3,17544,769,HC00253,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1",,0,0
na1[c],Sodium,HMDB00588,C01330,,Na,29101,923,,InChI=1S/Na/q+1,,0,0
2mcit[c],2-methylcitrate(3-),HMDB00379,,,C7H7O7,30835,,,"'InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)/p-3",,0,0
2mcit[e],2-methylcitrate(3-),HMDB00379,,,C7H7O7,30835,,,"'InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)/p-3",,0,0
2oxoadp[m],2-oxoadipate(2-),HMDB00225,C00322,C00322,C6H6O5,15753,,HC00273,"InChI=1S/C6H8O5/c7-4(6(10)11)2-1-3-5(8)9/h1-3H2,(H,8,9)(H,10,11)/p-2",,0,0
coa[m],Coenzyme A,HMDB01423,C00010,C00010,C21H32N7O16P3S,15346,6816,HC00020,"'InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/p-4/t11-,14-,15-,16+,20-/m1/s1",,0,0
nad[m],Nicotinamide adenine dinucleotide,HMDB00902,C00003,C00003,C21H26N7O14P2,15846,5893,HC00013,"'InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,0,0
co2[m],carbon dioxide,HMDB01967,C00011,C00011,CO2,16526,280,HC00021,InChI=1S/CO2/c2-1-3,,0,0
