name,main_class,sub_class,sys_name,synonyms,pubchem_cid,exactmass,formula,inchi_key,MW_regno
Fluorescein,1-benzopyrans,Xanthenes,2-(3-hydroxy-6-keto-xanthen-9-yl)benzoic acid,"Fluorescein; 2-(3-hydroxy-6-keto-xanthen-9-yl)benzoic acid; 2-(6-Hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid; Funduscein-25; 2-(6-hydroxy-3-oxoxanthen-9-yl)benzoic acid; 1flr; 1n0s; AC1L1FT8; AGN-PC-0JK6J3; CBDivE_002901; SCHEMBL107875; 3',6'-Dihydroxy-3H-spiro[2-be",3383,332.068475,C20H12O5,YKGGGCXBWXHKIZ-UHFFFAOYSA-N,71459
Athyriol,1-benzopyrans,Xanthones,"1,6,7-trihydroxy-3-methoxy-xanthen-9-one","Athyriol; 1,6,7-trihydroxy-3-methoxy-xanthen-9-one; AC1NQYR4; C10052; CTK8H9956; 3-Methoxy-1,6,7-trihydroxyxanthone; ZINC06483558",5281622,274.04774,C14H10O6,IFNAQIAMTNJLIF-UHFFFAOYSA-N,70359
Calophyllin B,1-benzopyrans,Xanthones,"1,5-dihydroxy-6-(3-methylbut-2-enyl)xanthen-9-one","Calophyllin B; 1,5-dihydroxy-6-(3-methylbut-2-enyl)xanthen-9-one; AC1NQYRA; C10054; 6-(3,3-Dimethylallyl)-1,5-dihydroxyxanthone; 1,5-dihydroxy-6-(3-methylbut-2-enyl)xanthen-9-one",5281624,296.10486,C18H16O4,APHJPNXEBUUMKB-UHFFFAOYSA-N,70360
Euxanthone,1-benzopyrans,Xanthones,"1,7-dihydroxy-9H-xanthen-9-one",Euxanthone,5281631,228.04226,C13H8O4,KDXFPEKLLFWHMN-UHFFFAOYSA-N,44523
Gentisein,1-benzopyrans,Xanthones,"1,3,7-trihydroxy-9H-xanthen-9-one",Gentisein,5281635,244.037175,C13H8O5,JJUNZBRHHGLJQW-UHFFFAOYSA-N,43860
Lancerin,1-benzopyrans,Xanthones,"1,3,7-trihydroxy-4-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]xanthen-9-one","Lancerin; 1,3,7-trihydroxy-4-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]xanthen-9-one; AC1NQYSY; SureCN506097; C10075; 4-C-Glucosyl-1,3,7-trihydroxyxanthone",5281645,406.09,C19H18O10,JUZGXATTXYZBGK-ZYYBFKFMSA-N,70369
Psorospermin,1-benzopyrans,Xanthones,"(2R)-10-hydroxy-5-methoxy-2-[(2R)-2-methyloxiran-2-yl]-1,2-dihydrofuro[2,3-c]xanthen-6-one","Psorospermin; (2R)-10-hydroxy-5-methoxy-2-[(2R)-2-methyloxiran-2-yl]-1,2-dihydrofuro[2,3-c]xanthen-6-one; AC1L2QCN; C10090; CHEMBL369474",126451,340.09469,C19H16O6,BBNDPXOGORGETN-JANGERMGSA-N,68160
5-Aminoimidazole ribonucleotide,1-phosphoribosyl-imidazoles,1-phosphoribosyl-imidazoles,"{[(2R,3S,4R,5R)-5-(5-amino-1H-imidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid","5-Aminoimidazole ribonucleotide; {[(2R,3S,4R,5R)-5-(5-amino-1H-imidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid; Aminoimidazole ribotide; 5-aminoimidazole ribotide; 5-aminoimidazole ribonucleotide; 5'-phosphoribosyl-5-aminoimidazole; 1-(5'-phosp",161500,295.05694,C8H14N3O7P,PDACUKOKVHBVHJ-XVFCMESISA-N,37675
5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5`-monophosphate,1-phosphoribosyl-imidazoles,1-phosphoribosyl-imidazoles,"[5-(5-amino-4-carbamoyl-imidazol-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate","5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5`-monophosphate; [5-(5-amino-4-carbamoyl-imidazol-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl dihydrogen phosphate; IN1541; Imidazole-4-carboxamide, 5'-(dihydrogen phosphate); AC1L18PA; A1393_SIGMA; AG",200,338.062754,C9H15N4O8P,NOTGFIUVDGNKRI-UHFFFAOYSA-N,71388
"5-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide",1-ribosyl-imidazolecarboxamides,1-ribosyl-imidazolecarboxamides,"5-amino-1-(3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl)imidazole-4-carboxamide","5-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide; 5-amino-1-(3,4-dihydroxy-5-methylol-tetrahydrofuran-2-yl)imidazole-4-carboxamide; IN1542; 5-Amino-1H-imidazole-4-carboxamide-1-beta-D-ribofuranoside; NSC105823; 5-Aminoimidazole-4-",266934,258.096421,C9H14N4O5,RTRQQBHATOEIAF-UHFFFAOYSA-N,71657
Albanol B,2-arylbenzofuran flavonoids,2-arylbenzofuran flavonoids,"1-(2,4-dihydroxyphenyl)-17-(6-hydroxy-1-benzofuran-2-yl)-11-methyl-2,20-dioxapentacyclo[11.7.1.0^{3,8}.0^{9,21}.0^{14,19}]henicosa-3,5,7,9,11,13(21),14,16,18-nonaene-5,15-diol",,480819,558.131468,C34H22O8,SMHBZVSVLIBGGO-UHFFFAOYSA-N,44208
Silychristin,2-arylbenzofuran flavonoids,2-arylbenzofuran flavonoids,"(2R,3R)-3,5,7-trihydroxy-2-[(2R,3S)-7-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-2,3-dihydro-1-benzofuran-5-yl]-2,3-dihydro-4H-chromen-4-one","Silychristin; (2R,3R)-3,5,7-trihydroxy-2-[(2R,3S)-7-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-2,3-dihydro-1-benzofuran-5-yl]-2,3-dihydro-4H-chromen-4-one; Silychristin",441764,482.1213,C25H22O10,BMLIIPOXVWESJG-LMBCONBSSA-N,53433
"2',4'-Dihydroxyacetophenone",Acetophenones,Acetophenones,"1-(2,4-dihydroxyphenyl)ethan-1-one","2',4'-Dihydroxyacetophenone; 1-(2,4-dihydroxyphenyl)ethan-1-one; 2',4'-DIHYDROXYACETOPHENONE; 2,4-Dihydroxyacetophenone; 1-(2,4-Dihydroxyphenyl)ethanone; Resacetophenone; 4-Acetylresorcinol; Ethanone, 1-(2,4-dihydroxyphenyl)-; Resoacetophenone; 1-Acetyl-2,4-dihyd",6990,152.047345,C8H8O3,SULYEHHGGXARJS-UHFFFAOYSA-N,43965
Acetophenone,Acetophenones,Acetophenones,1-phenylethan-1-one,,7410,120.057515,C8H8O,KWOLFJPFCHCOCG-UHFFFAOYSA-N,46273
Benzofenap,Acetophenones,Acetophenones,"2-({4-[(2,4-dichloro-3-methylphenyl)carbonyl]-1,3-dimethyl-1H-pyrazol-5-yl}oxy)-1-(4-methylphenyl)ethan-1-one",,94686,430.085098,C22H20Cl2N2O3,JDWQITFHZOBBFE-UHFFFAOYSA-N,49328
Bupropion,Acetophenones,Acetophenones,2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one,Bupropion,444,239.107692,C13H18NOCl,SNPPWIUOZRMYNY-UHFFFAOYSA-N,37838
Cathinone,Acetophenones,Acetophenones,(2S)-2-amino-1-phenylpropan-1-one,Cathinone; (2S)-2-amino-1-phenylpropan-1-one; Cathinone; D-Cathinone; Norephedrone,62258,149.084064,C9H11NO,PUAQLLVFLMYYJJ-ZETCQYMHSA-N,53107
Diethylpropion,Acetophenones,Acetophenones,2-(diethylamino)-1-phenylpropan-1-one,,7029,205.146664,C13H19NO,XXEPPPIWZFICOJ-UHFFFAOYSA-N,43198
Hydroxybupropion,Acetophenones,Acetophenones,1-(3-chlorophenyl)-2-[(1-hydroxy-2-methylpropan-2-yl)amino]propan-1-one,,446,255.102607,C13H18ClNO2,AKOAEVOSDHIVFX-UHFFFAOYSA-N,41935
Isolobinine,Acetophenones,Acetophenones,"2-[(2S,6S)-6-(2-hydroxybutyl)-1-methyl-3,6-dihydro-2H-pyridin-2-yl]-1-phenyl-ethanone",C10153; AC1L9D52,442643,287.188529,C18H25NO2,SEUNPTJHBYYPOX-GARXDOFDSA-N,69390
Tolmetin,Acetophenones,Acetophenones,2-{1-methyl-5-[(4-methylphenyl)carbonyl]-1H-pyrrol-2-yl}acetic acid,Tolmetin,5509,257.105194,C15H15NO3,UPSPUYADGBWSHF-UHFFFAOYSA-N,42844
Acutumidine,Acutumine and related alkaloids,Acutumine and related alkaloids,"4-[4-[2-(3,4-dimethoxyphenyl)ethyl]-5-methyl-1H-imidazol-2-yl]butyl acetate",AC1L9DHT; CHEMBL237548; C10565,442840,383.113565,C18H22ClNO6,SBALNGLYQFMKPR-NQTWQHAWSA-N,69465
Isoprene,Acyclic olefins,Alkadienes,"2-methylbuta-1,3-diene","2-methyl-1,3-butadiene;2-methylbutadiene;2-methyldivinyl;CH2=C(CH3)CH=CH2;Isopren;beta-methylbivinyl;isopentadiene;isoprene;isopreno;isoterpene",6557,68.0626,C5H8,RRHGJUQNOFWUDK-UHFFFAOYSA-N,55076
trans-2-trans-4-Nonadiene,Acyclic olefins,Alkadienes,"dodeca-5,7-diene",,5358327,166.172151,C12H22,ZARLDNIZTZBEDV-WGDLNXRISA-N,45585
6-Demethylsterigmatocystin,Aflatoxins and related substances,,,6-Demethylsterigmatocystin,5280620,310.04774,C17H10O6,RQQOEIJLJPCYJR-BWKAKNAASA-N,21373
Dihydromethylsterigmatocystin,Aflatoxins and related substances,,,Dihydromethylsterigmatocystin,5280636,342.073955,C18H14O7,FAYWFTGEUVDVPA-ULCDLSAGSA-N,21375
Sterigmatocystin,Aflatoxins and related substances,,,,5280389,324.06339,C18H12O6,UTSVPXMQSFGQTM-DCXZOGHSSA-N,21372
"1,2,3-butanetriol",Alcohols and polyols,"1,2-diols","butane-1,2,3-triol",,20497,106.062995,C4H10O3,YAXKTBLXMTYWDQ-UHFFFAOYSA-N,46679
Ethylene glycol,Alcohols and polyols,"1,2-diols","ethane-1,2-diol",,174,62.03678,C2H6O2,LYCAIKOWRPUZTN-UHFFFAOYSA-N,52011
Isovelleral,Aldehydes,Aldehydes,"(1aS,3aS,6aS,6bR)-5,5,6b-trimethyl-3a,4,6,6a-tetrahydro-1H-cyclopropa[e]indene-1a,2-dicarbaldehyde","Isovelleral; (1aS,3aS,6aS,6bR)-5,5,6b-trimethyl-3a,4,6,6a-tetrahydro-1H-cyclopropa[e]indene-1a,2-dicarbaldehyde; Iso-Velleral; (+)-Isovelleral; CCRIS 1699; NSC 299922",37839,232.14633,C15H20O2,PJAAESPGJOSQGZ-DZGBDDFRSA-N,67725
Pyruvaldehyde,Aldehydes,Alpha ketoaldehydes,2-oxopropanal,"Pyruvaldehyde; 2-oxopropanal; methylglyoxal; pyruvaldehyde; 2-Oxopropanal; pyruvic aldehyde; acetylformaldehyde; Acetylformyl; Propanal, 2-oxo-; 2-Ketopropionaldehyde; Propanedione; 2-Oxopropanal; Propanal, 2-oxo-",880,72.02113,C3H4O2,AIJULSRZWUXGPQ-UHFFFAOYSA-N,37635
3-Aminopropionaldehyde,Aldehydes,Alpha-hydrogen aldehydes,3-aminopropanal,"3-Aminopropionaldehyde; 3-aminopropanal; 3-Aminopropanal; 3-Aminopropionaldehyde; beta-Aminopropion aldehyde; Propanal, 3-amino-; UNII-ML707Y407U; AC1Q6QLH; ACMC-1CRJ2; AGN-PC-09YSMY; AC1L18FA; 3-Aminopropanal; Propanal, 3-amino-",75,73.052764,C3H7NO,PCXDJQZLDDHMGX-UHFFFAOYSA-N,37603
4-Aminobutyraldehyde,Aldehydes,Alpha-hydrogen aldehydes,4-aminobutanal,"4-Aminobutyraldehyde; 4-aminobutanal; 4-aminobutanal; 4-aminobutyraldehyde; Butanal, 4-amino-; gamma-aminobutyraldehyde; 4-amino-butyraldehyde; CHEBI:17769; 4-amino-butanal; omega-Aminoaldehyde; AC1Q6QLB; 4-Aminobutanal; Butanal, 4-amino-",118,87.068414,C4H9NO,DZQLQEYLEYWJIB-UHFFFAOYSA-N,37590
5-Aminopentanal,Aldehydes,Alpha-hydrogen aldehydes,5-aminopentanal,"5-Aminopentanal; 5-aminopentanal; 5-Aminopentanal; Pentanal, 5-amino-; CHEBI:31130; 5-Amino-pentanal; AC1L9FBU; AGN-PC-0JRB9O; C12455; SCHEMBL97690; CHEMBL2261443; Pentanal, 5-amino-; 5-Aminopentanal",443849,101.084064,C5H11NO,SZBGXBOFCGNPEU-UHFFFAOYSA-N,42109
Acetamidopropanal,Aldehydes,Alpha-hydrogen aldehydes,N-(3-oxopropyl)acetamide,,5460495,115.063329,C5H9NO2,ARJPPNFIEQKVBB-UHFFFAOYSA-N,42123
Butanal,Aldehydes,Alpha-hydrogen aldehydes,butanal,Butanal,261,72.057515,C4H8O,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,38357
Glutaral,Aldehydes,Alpha-hydrogen aldehydes,pentanedial,"Glutaral; pentanedial; glutaraldehyde; Pentanedial; Glutaral; Glutaric dialdehyde; Cidex; Glutardialdehyde; 1,5-Pentanedial; Glutarol; Sonacide; Glutaraldehyde; Pentanedial",3485,100.05243,C5H8O2,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,43930
Lactaldehyde,Aldehydes,Alpha-hydroxyaldehydes,(2S)-2-hydroxypropanal,"Lactaldehyde; (2S)-2-hydroxypropanal; (S)-lactaldehyde; L-lactaldehyde; (2S)-2-hydroxypropanal; L-2-Hydroxypropionaldehyde; lactald; hydroxypropionaldehyde; 2-Hydroxypropionaldehyde; (+-)-2-Hydroxypropanal; Alpha-hydroxypropionaldehyde; 2-Hydroxypropanal; Propanal,",439231,74.03678,C3H6O2,BSABBBMNWQWLLU-VKHMYHEASA-N,38242
2-Furancarboxaldehyde,Aldehydes,Aryl-aldehydes,furan-2-carbaldehyde,2-Furancarboxaldehyde; furan-2-carbaldehyde; FURFURAL; 2-Furaldehyde; 2-Furancarboxaldehyde; furan-2-carbaldehyde; Furaldehyde; 2-Formylfuran; Furfuraldehyde; Fural; 2-Furanaldehyde; 2-Furaldehyde; 2-Furancarboxaldehyde,57445953,96.02113,C5H4O2,HYBBIBNJHNGZAN-UHFFFAOYSA-N,45777
pyrraline,Aldehydes,Aryl-aldehydes,5-(hydroxymethyl)-1H-pyrrole-2-carbaldehyde,2-Amino-6-(2-formyl-5-hydroxymethylpyrrol-1-yl)hexanoic acid;2-Fhmpn;2-Formyl-5-(hydroxymethyl)pyrrole-1-norleucine;2-amino-6-(2-formyl-5-hydroxymethyl-1-pyrrolyl)-hexanoic acid;5-(hydroxymethyl)pyrrole-2-carboxaldehyde,12416228,125.047678,C6H7NO2,SRPREECLSOIPNK-UHFFFAOYSA-N,67028
"1,2-Dihydroxy-3-keto-5-methylthiopentene",Aldehydes,Beta ketoaldehydes,"(1Z)-1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one","1,2-Dihydroxy-3-keto-5-methylthiopentene; (1Z)-1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one; acireductone; 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one; 1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one; 1,2-dihydroxy-3-keto-5-methylthiopentane; 1,2-dihydroxy-",5462190,162.035067,C6H10O3S,CILXJJLQPTUUSS-XQRVVYSFSA-N,41856
"2-hydroxy-5-methyl-cis,cis-muconic semialdehyde",Aldehydes,Medium-chain aldehydes,"(2E,4Z)-2-hydroxy-5-methyl-6-oxohexa-2,4-dienoic acid","2-hydroxy-5-methyl-cis,cis-muconic semialdehyde",44147549,156.04226,C7H8O4,ADNFTGVUUFRKSK-JGDUWUCISA-N,51562
Aldehydo-D-talose,Aldehydes,Medium-chain aldehydes,aldehydo-D-talose,Aldehydo-D-talose; aldehydo-D-talose; D-talose; D-Talose; aldehydo-D-talose; Talose; D-(+)-Talose; AC1L40WS; SCHEMBL37336; CHEBI:28458; CHEBI:68461; CTK1A4053; D-Talose,99459,180.06339,C6H12O6,GZCGUPFRVQAUEE-KAZBKCHUSA-N,65041
Quinovose,Aldehydes,Medium-chain aldehydes,6-deoxy-D-glucose,"D-quinovose; 6-deoxy-D-glucose; D-Qui; 6-Deoxy-D-glucose; 6-Deoxyglucose; (2R,3S,4R,5R)-2,3,4,5-tetrahydroxyhexanal; D-Glucose, 6-deoxy-; D-Qui; 6DOG; AC1L3QHH; SCHEMBL59278; AC1Q6A76; 6-Deoxy-D-glucopyranose; D-Glucopyranose, 6-deoxy-; 6-Deoxy-alpha-D-glucopyranose; a",93579,164.068475,C6H12O5,PNNNRSAQSRJVSB-JGWLITMVSA-N,51595
2-Methylpropanal,Aldehydes,Short-chain aldehydes,2-methylpropanal,"2-Methylpropanal; 2-methylpropanal; ISOBUTYRALDEHYDE; 2-Methylpropanal; Isobutanal; Isobutylaldehyde; Propanal, 2-methyl-; 2-Methylpropionaldehyde; Isobutyric aldehyde; Methylpropanal; Valine aldehyde; 2-Methylpropanal; Propanal, 2-methyl-",9023,72.057515,C4H8O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,44776
Acetaldehyde,Aldehydes,Short-chain aldehydes,acetaldehyde,Acetaldehyde,177,44.026215,C2H4O,IKHGUXGNUITLKF-UHFFFAOYSA-N,37534
