Reaction abbreviation,Reaction name,Reaction formula,Pathway,Lower bound (mmol/gdw/hr),Upper bound (mmol/gdw/hr),Gene-reaction-association,Conifdence score,Eco IDA,sbo Term,EC number,Notes,Reference,,
'3AIBTm',"'L-3-aminoisobutyrate transaminase, mitochondrial'",'2mop[m] + glu_L[m]  <=> akg[m] + 3aib[m] ',"'Valine, leucine, and isoleucine metabolism'",-1000,1000,'(18.1) or (18.2)','2','3A0000304',176,'2.6.19.4','NCD','',,
'3AIBtm',"'3-amino-isobutyrate transport, mitochondrial'",'3aib[m]  => 3aib[c] ',"'Transport, mitochondrial'",0,1000,'(18.1) or (18.2)','2','3A0000000',185,'','','',,
'3DPHBH1','Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)','h[m] + o2[m] + nadh[m] + 3dphb[m]  => h2o[m] + nad[m] + 3dpdhb[m] ','Ubiquinone synthesis',0,1000,'','2','3A0000000',176,'','Used to make Ubiquinone-10 enzyme has not been identified yet. IT','PMID:11051212',,
'3DPHBH2','Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)','h[m] + nadph[m] + o2[m] + 3dphb[m]  => h2o[m] + nadp[m] + 3dpdhb[m] ','Ubiquinone synthesis',0,1000,'','2','3A0000000',176,'','Used to make Ubiquinone-10 enzyme has not been identified yet. IT','PMID:11051212',,
'3DSPHR','3-Dehydrosphinganine reductase','h[c] + nadph[c] + 3dsphgn[c]  => nadp[c] + sphgn[c] ','Sphingolipid metabolism',0,1000,'(2531.1)','4','3A0000269',176,'1.1.1.102','','',,
'3HAO',"'3-hydroxyanthranilate 3,4-dioxygenase'",'o2[c] + 3hanthrn[c]  => h[c] + cmusa[c] ','Tryptophan metabolism',0,1000,'(23498.1)','4','3A0000269',176,'1.13.11.6','NCD','PMID:7514594',,
'3HBCDm',"'3-hydroxybutyryl-CoA dehydratase, mitochondrial'",'h2o[m] + b2coa[m]  <=> 3hbcoa_R[m] ','Butanoate metabolism',-1000,1000,'(55268.1)','2','3A0000254',176,'4.2.1.55','NCD. rat gene that is homologous to the human gene encodes for this activity','PMID:9073515',,
'3HBCOAHLm',"'3-hydroxyisobutyryl-CoA hydrolase, mitochondrial'",'h2o[m] + 3hibutcoa[m]  => h[m] + coa[m] + 3hmp[m] ',"'Valine, leucine, and isoleucine metabolism'",0,1000,'','2','3A0000000',176,'3.1.2.4','MM','PMID:8824301',,
'3HKYNAKGAT','3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase','akg[c] + hLkynr[c]  => 42A3HP24DB[c] + glu_L[c] ','Tryptophan metabolism',0,1000,'(51166.1) or (883.1) or (51166.2)','2','3A0000304',176,'2.6.1.7','SAB','PMID:13357462',,
'3HLYTCL','3-Hydroxy-L-tyrosine carboxy-lyase','h[c] + 34dhphe[c]  => co2[c] + dopa[c] ','Tyrosine metabolism',0,1000,'(1644.1)','4','3A0000269',176,'4.1.1.28','SAB','',,
'3HPCOAHYD','3-hydroxyisobutyryl-Coenzyme A hydrolase','h2o[c] + 3hpcoa[c]  => h[c] + 3hpp[c] + coa[c] ','beta-Alanine metabolism',0,1000,'(26275.1) or (26275.2)','4','3A0000269',176,'3.1.2.4','SAB','PMID:8824301',,
'3HPPD','3-hydroxypropionate dehydrogenase','nad[c] + 3hpp[c]  <=> h[c] + nadh[c] + msa[c] ','Propanoate metabolism',-1000,1000,'','2','3A0000000',176,'1.1.1.59','NCD','PMID:4507604',,
'3HXKYNDCL','3-Hydroxykynurenamine decarboxy-lyase','h[c] + hLkynr[c]  => co2[c] + 3hxkynam[c] ','Tryptophan metabolism',0,1000,'(1644.1)','1','3A0000000',176,'','SAB made up name','',,
'3HXKYNOXDA','3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)','o2[c] + 3hxkynam[c]  => h2o2[c] + nh4[c] + 48dhoxquin[c] ','Tryptophan metabolism',0,1000,'(4128.1) or (4129.1)','1','3A0000000',176,'1.4.3.4','SAB',"'PMID:15035803,PMID:8920635,PMID:9653080'",,
'3M4HDXPAC','3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase','h2o[c] + nad[c] + 3mox4hpac[c]  <=> 2 h[c] + nadh[c] + homoval[c] ','Tyrosine metabolism',-1000,1000,'(218.1) or (221.1) or (222.1) or (220.1)','1','3A0000134',176,'1.2.1.5','SAB',"'PMID:6422947,PMID:9732974'",,
'3MLDAt','3MLDA extracellular transport via diffusion','3mlda[c]  <=> 3mlda[e] ',"'Transport, extracellular'",-1000,1000,'','2','3A0000000',185,'','SAB','PMID:11411609',,
'3MOBt2im','3-methyl-2-oxobutanoate mitochondrial transport via proton symport','h[c] + 3mob[c]  => h[m] + 3mob[m] ',"'Transport, mitochondrial'",0,1000,'','4','3A0000000',185,'','MM','PMID:8428987',,
'3MOPt2im','3-Methyl-2-oxopentanoate mitochondrial transport via proton symport','h[c] + 3mop[c]  => h[m] + 3mop[m] ',"'Transport, mitochondrial'",0,1000,'','4','3A0000000',185,'','MM','PMID:8428987',,
'3MOX4HOXPGALDOX','3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase','h2o[c] + nad[c] + 3m4hpga[c]  => 2 h[c] + nadh[c] + 3mox4hoxm[c] ','Tyrosine metabolism',0,1000,'(222.1) or (220.1) or (221.1) or (218.1)','2','3A0000304',176,'1.2.1.5','SAB','',,
'3MOX4HOXPGALDOX_NADP_','3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase','h2o[c] + nadp[c] + 3m4hpga[c]  <=> 2 h[c] + nadph[c] + 3mox4hoxm[c] ','Tyrosine metabolism',-1000,1000,'(222.1) or (220.1) or (221.1) or (218.1)','2','3A0000304',176,'1.2.1.5','SAB','',,
'3MOXTYROX','3-Methoxytyramine:oxygen oxidoreductase (deaminating)','h2o[c] + o2[c] + 3moxtyr[c]  => h2o2[c] + nh4[c] + 3mox4hpac[c] ','Tyrosine metabolism',0,1000,'(4128.1) or (4129.1)','4','3A0000269',176,'1.4.3.4','SAB','PMID:10867119',,
'3NTD7l',"'3''-nucleotidase (AMP), lysosome'",'3amp[l] + h2o[l]  => adn[l] + pi[l] ','Purine catabolism',0,1000,'(53.1)','4','3A0000269',176,'3.1.3.2','MKA AMF IT','',,
'3SALAASPm','cysteinesulfinate-aspartate mitochondrial shuttle','3sala[m] + asp_L[c]  <=> 3sala[c] + asp_L[m] ',"'Transport, mitochondrial'",-1000,1000,'(10165.1) or (8604.1)','2','3A0000304',185,'','PMID:486467  MM','PMID:14598172',,
'3SALACBOXL','3-Sulfino-L-alanine carboxy-lyase','2 h[c] + 3sala[c]  => co2[c] + hyptaur[c] ','Taurine and hypotaurine metabolism',0,1000,'(51380.1) or (2571.1) or (2572.1) or (2571.2)','4','3A0000269',176,'4.1.1.15','SAB','',,
'3SALAOX','cysteinesulfinic acid oxidase','o2[c] + 2 h[c] + 2 3sala[c]  => 2 Lcyst[c] ','Taurine and hypotaurine metabolism',0,1000,'','2','3A0000000',176,'',"'as described in Bender (Nutritional biochmeistry of the vitamins, 2nd edition)  MM'",'',,
'3SALATAi','3-sulfino-alanine transaminase (irreversible)','h[c] + akg[c] + 3sala[c]  => glu_L[c] + 3snpyr[c] ','Methionine and cysteine metabolism',0,1000,'(2805.1)','2','3A0000304',176,'2.6.1.1',"'MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain'",'PMID:3346220',,
'3SALATAim',"'3-sulfino-alanine transaminase (irreversible), mitochondrial'",'h[m] + akg[m] + 3sala[m]  => glu_L[m] + 3snpyr[m] ','Methionine and cysteine metabolism',0,1000,'(2806.1)','2','3A0000304',176,'2.6.1.1',"'MM. activity measured in rat, 3-sulfinoalanine is substrate found in human brain'",'PMID:3346220',,
'3SPYRSP','3-sulfinopyruvate hydrolase (spotaneous reaction)','h2o[c] + 3snpyr[c]  => h[c] + pyr[c] + so3[c] ','Methionine and cysteine metabolism',0,1000,'','2','3A0000000',176,'','MM','PMID:3346220',,
'3SPYRSPm',"'3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial'",'h2o[m] + 3snpyr[m]  => h[m] + pyr[m] + so3[m] ','Methionine and cysteine metabolism',0,1000,'','2','3A0000000',176,'','MM','PMID:3346220',,
'41R1H2MAE12BOOX',"'4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)'",'h2o[c] + o2[c] + adrnl[c]  => h2o2[c] + 34dhmald[c] + mma[c] ','Tyrosine metabolism',0,1000,'(4128.1) or (4129.1)','4','3A0000269',176,'1.4.3.4','SAB',"'PMID:15035803,PMID:8920635,PMID:9653080'",,
'41R2A1H12BOOX',"'4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)'",'h2o[c] + o2[c] + nrpphr[c]  => h2o2[c] + nh4[c] + 34dhmald[c] ','Tyrosine metabolism',0,1000,'(4128.1) or (4129.1)','4','3A0000269',176,'1.4.3.4','SAB',"'PMID:15035803,PMID:8920635,PMID:9653080'",,
'42A12BOOX',"'4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)'",'h2o[c] + o2[c] + dopa[c]  => h2o2[c] + nh4[c] + 34dhpac[c] ','Tyrosine metabolism',0,1000,'(4129.1) or (8639.1) or (26.1) or (314.2) or (314.1) or (4128.1)','4','3A0000269',176,'1.4.3.6','SAB',"'PMID:15035803,PMID:8920635,PMID:9653080'",,
'4ABUTtm','4-aminobutanoate mitochondrial transport via diffusion','4abut[c]  <=> 4abut[m] ',"'Transport, mitochondrial'",-1000,1000,'','2','3A0000000',185,'','NCD','PMID:10407778',,
'4HBZCOAFm','4-hydroxybenzoyl-CoA formation','h2o[m] + coa[m] + nad[m] + coucoa[m]  => h[m] + nadh[m] + 4hbzcoa[m] + accoa[m] ','Ubiquinone synthesis',0,1000,'','2','3A0000000',176,'','IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.',"'PMID:11583838,PMID:12232327'",,
'4HBZFm','4-hydroxybenzoate formation','h2o[m] + 4hbzcoa[m]  => h[m] + coa[m] + 4hbz[m] ','Ubiquinone synthesis',0,1000,'','2','3A0000000',176,'','IT reaction involved in formation of 4-hydroxybenzoate from tyrosine.',"'PMID:11583838,PMID:12232327'",,
'4HDEBRISOQUINEte','xenobiotic transport','4hdebrisoquine[e]  <=> 4hdebrisoquine[c] ',"'Transport, extracellular'",-1000,1000,'','2','3A0000000',185,'',"'unknown mechanism, related cyp P450 metabolism reactions NJ'",'',,
'4HGLSDm',"'L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial'",'h2o[m] + nad[m] + 4hglusa[m]  <=> 2 h[m] + nadh[m] + e4hglu[m] ','Arginine and Proline Metabolism',-1000,1000,'(8659.1) or (8659.2)','1','3A0000212',176,'1.5.1.12','NCD','PMID:15849464',,
