reaction_id,reaction_abbreviation,reaction_name,reaction_reversible,reaction_formula,reaction_formula_w/name,Conifdence score
11,11DOCRTSTRNtm,11-deoxycorticosterone intracellular transport,1,11docrtstrn[c]  <=> 11docrtstrn[m] ,11-deoxycorticosterone <  = > 11-deoxycorticosterone,1
12,11DOCRTSTRNtr,11-deoxycorticosterone intracellular transport,1,11docrtstrn[c]  <=> 11docrtstrn[r] ,11-deoxycorticosterone <  = > 11-deoxycorticosterone,1
13,13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",0,13dampp[c] + h2o[c] + o2[c]  => bamppald[c] + h2o2[c] + nh4[c] ,trimethylenediaminium+Water+O2 = > beta-Aminopropion aldehyde+Hydrogen peroxide+Ammonium,1
14,1a_24_25VITD2Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D2)",0,2425dhvitd2[m] + h[m] + nadph[m] + o2[m]  => 1a2425thvitd2[m] + h2o[m] + nadp[m] ,"24R,25-Dihyoxyvitamin D2+proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2 = > 1-alpha,24R,25-Trihydroxyvitamin D2+Water+Nicotinamide adenine dinucleotide phosphate",2
15,1a_24_25VITD3Hm,"1-alpha-Vitamin D-24,25-hydroxylase (D3)",0,h[m] + nadph[m] + o2[m] + 2425dhvitd3[m]  => h2o[m] + nadp[m] + 1a2425thvitd3[m] ,"proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+(24R)-24,25-dihydroxycalciol = > Water+Nicotinamide adenine dinucleotide phosphate+calcitetrol",2
16,1a_25VITD2Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D2)",0,h[m] + nadph[m] + o2[m] + 1a25dhvitd2[m]  => 1a2425thvitd2[m] + h2o[m] + nadp[m] ,"proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+1-alpha,25-Dihydroxyvitamin D2 = > 1-alpha,24R,25-Trihydroxyvitamin D2+Water+Nicotinamide adenine dinucleotide phosphate",4
17,1a_25VITD3Hm,"1-alpha,24R,25-Vitamin D-hydroxylase (D3)",0,h[m] + nadph[m] + o2[m] + 1a25dhvitd3[m]  => h2o[m] + nadp[m] + 1a2425thvitd3[m] ,proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+calcitriol = > Water+Nicotinamide adenine dinucleotide phosphate+calcitetrol,4
18,1MNCAMti,N1-Methylnicotinamide transport,0,h2o[c] + 1mncam[c] + atp[c]  => 1mncam[e] + adp[c] + h[c] + pi[c] ,Water+1-methylnicotinamide+ATP = > 1-methylnicotinamide+ADP+proton+hydrogenphosphate,2
19,1PPDCRp,"delta1-piperideine-2-carboxylate reductase, perixosomal",0,1pipdn2c[x] + h[x] + nadh[x]  => Lpipecol[x] + nad[x] ,1-piperideine-2-carboxylate+proton+Nicotinamide adenine dinucleotide - reduced = > L-pipecolic acid+Nicotinamide adenine dinucleotide,2
20,24_25DHVITD2t,"24,25-Dihydroxyvitamin D2 transport from cytoplasm",0,2425dhvitd2[c]  => 2425dhvitd2[e] ,"24R,25-Dihyoxyvitamin D2 = > 24R,25-Dihyoxyvitamin D2",2
21,24_25DHVITD2tm,"24,25-Dihydroxyvitamin D2 transport from mitochondria",0,2425dhvitd2[m]  => 2425dhvitd2[c] ,"24R,25-Dihyoxyvitamin D2 = > 24R,25-Dihyoxyvitamin D2",2
22,24_25DHVITD3t,"24,25-Dihydroxyvitamin D3 transport from cytoplasm",0,2425dhvitd3[c]  => 2425dhvitd3[e] ,"(24R)-24,25-dihydroxycalciol = > (24R)-24,25-dihydroxycalciol",2
23,24_25DHVITD3tm,"24,25-Dihydroxyvitamin D3 transport from mitochondria",0,2425dhvitd3[m]  => 2425dhvitd3[c] ,"(24R)-24,25-dihydroxycalciol = > (24R)-24,25-dihydroxycalciol",2
24,24_25VITD2Hm,24R-Vitamin D-25-hydroxylase (D2),0,h[m] + nadph[m] + o2[m] + 25hvitd2[m]  => 2425dhvitd2[m] + h2o[m] + nadp[m] ,"proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+25-Hydroxyvitamin D2 = > 24R,25-Dihyoxyvitamin D2+Water+Nicotinamide adenine dinucleotide phosphate",4
25,24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),0,h[m] + nadph[m] + o2[m] + 25hvitd3[m]  => h2o[m] + nadp[m] + 2425dhvitd3[m] ,"proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+calcidiol = > Water+Nicotinamide adenine dinucleotide phosphate+(24R)-24,25-dihydroxycalciol",4
26,24NPHte,xenobiotic transport,1,24nph[e]  <=> 24nph[c] ,2-hydroxy-4-nitrophenolate <  = > 2-hydroxy-4-nitrophenolate,2
27,25HVITD2t,25-hydroxyvitamin D2 transport from cytoplasm,0,25hvitd2[c]  => 25hvitd2[e] ,25-Hydroxyvitamin D2 = > 25-Hydroxyvitamin D2,2
28,25HVITD2tin,25-hydroxyvitamin D2 transport in cytoplasm,0,25hvitd2[e]  => 25hvitd2[c] ,25-Hydroxyvitamin D2 = > 25-Hydroxyvitamin D2,2
29,25HVITD2tin_m,25-hydroxyvitamin D2 transport in mitochondria,0,25hvitd2[c]  => 25hvitd2[m] ,25-Hydroxyvitamin D2 = > 25-Hydroxyvitamin D2,2
30,25HVITD2tm,25-hydroxyvitamin D2 transport from mitochondria,0,25hvitd2[m]  => 25hvitd2[c] ,25-Hydroxyvitamin D2 = > 25-Hydroxyvitamin D2,2
31,25HVITD3t,25-hydroxyvitamin D3 transport from cytoplasm,0,25hvitd3[c]  => 25hvitd3[e] ,calcidiol = > calcidiol,2
32,25HVITD3tin,25-hydroxyvitamin D3 transport in cytoplasm,0,25hvitd3[e]  => 25hvitd3[c] ,calcidiol = > calcidiol,2
33,25HVITD3tin_m,25-hydroxyvitamin D3 transport in mitochondria,0,25hvitd3[c]  => 25hvitd3[m] ,calcidiol = > calcidiol,2
34,25HVITD3tm,25-hydroxyvitamin D3 transport from mitochondria,0,25hvitd3[m]  => 25hvitd3[c] ,calcidiol = > calcidiol,2
35,25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),0,h[m] + nadph[m] + o2[m] + 25hvitd2[m]  => h2o[m] + nadp[m] + 1a25dhvitd2[m] ,"proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+25-Hydroxyvitamin D2 = > Water+Nicotinamide adenine dinucleotide phosphate+1-alpha,25-Dihydroxyvitamin D2",4
36,25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3),0,h[m] + nadph[m] + o2[m] + 25hvitd3[m]  => h2o[m] + nadp[m] + 1a25dhvitd3[m] ,proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+calcidiol = > Water+Nicotinamide adenine dinucleotide phosphate+calcitriol,4
37,2AMACHYD,2-Aminoacrylate hydrolysis,0,h2o[c] + 2amac[c]  => nh4[c] + pyr[c] ,Water+2-aminoacrylic acid = > Ammonium+pyruvate,4
38,2AMACSULT,2-Aminoacrylate sulfotransferase,0,2amac[c] + nadph[c] + paps[c]  => Lcyst[c] + nadp[c] + pap[c] ,"2-aminoacrylic acid+Nicotinamide adenine dinucleotide phosphate - reduced+(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate = > L-cysteate(1-)+Nicotinamide adenine dinucleotide phosphate+adenosine 3',5'-bismonophosphate(4-)",2
39,2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),1,L2aadp[c] + akg[m]  <=> L2aadp[m] + akg[c] ,L-2-aminoadipate(1-)+2-Oxoglutarate <  = > L-2-aminoadipate(1-)+2-Oxoglutarate,4
40,2DR1PP,2-deoxy-D-ribose 1-phosphate phosphorylase,0,h2o[c] + 2dr1p[c]  => pi[c] + drib[c] ,Water+2-Deoxy-D-ribose 1-phosphate = > hydrogenphosphate+2-deoxy-D-ribose,2
41,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,1,2hb[c] + nad[c]  <=> h[c] + 2obut[c] + nadh[c] ,2-Hydroxybutyrate+Nicotinamide adenine dinucleotide <  = > proton+2-Oxobutanoate+Nicotinamide adenine dinucleotide - reduced,4
42,2HBt2,2-hydroxybutyrate cotransport with proton,1,2hb[e] + h[e]  <=> h[c] + 2hb[c] ,2-Hydroxybutyrate+proton <  = > proton+2-Hydroxybutyrate,4
43,2HCO3_NAt,bicarbonate transport (Na/HCO3 1:2 cotransport),1,2 hco3[e] + na1[e]  <=> 2 hco3[c] + na1[c] ,2Bicarbonate+Sodium <  = > 2Bicarbonate+Sodium,4
44,2MCITt,2-methylcitrate transport via diffusion,1,2mcit[c]  <=> 2mcit[e] ,2-methylcitrate(3-) <  = > 2-methylcitrate(3-),2
45,2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),0,2oxoadp[m] + coa[m] + nad[m]  => co2[m] + glutcoa[m] + nadh[m] ,2-oxoadipate(2-)+Coenzyme A+Nicotinamide adenine dinucleotide = > carbon dioxide+glutaryl-CoA(5-)+Nicotinamide adenine dinucleotide - reduced,2
46,2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),1,akg[m] + 2oxoadp[c]  <=> akg[c] + 2oxoadp[m] ,2-Oxoglutarate+2-oxoadipate(2-) <  = > 2-Oxoglutarate+2-oxoadipate(2-),4
47,34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase",1,h[c] + nadh[c] + 34dhmald[c]  <=> nad[c] + 34dhoxpeg[c] ,"proton+Nicotinamide adenine dinucleotide - reduced+3,4-Dihydroxymandelaldehyde <  = > Nicotinamide adenine dinucleotide+3,4-Dihydroxyphenylethyleneglycol",4
48,34DHOXPEGt,"3,4-Dihydroxyphenylethyleneglycol transport (diffusion)",1,34dhoxpeg[c]  <=> 34dhoxpeg[e] ,"3,4-Dihydroxyphenylethyleneglycol <  = > 3,4-Dihydroxyphenylethyleneglycol",2
49,34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",0,34dhpha[c] + amet[c]  => h[c] + ahcys[c] + homoval[c] ,"(3,4-dihydroxyphenyl)acetate+S-Adenosyl-L-methionine = > proton+S-Adenosyl-L-homocysteine+Homovanillate",1
50,34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport",1,34dhphe[e]  <=> 34dhphe[c] ,L-dopa <  = > L-dopa,4
51,34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",0,h2o[c] + nad[c] + 34dhpac[c]  => 2 h[c] + nadh[c] + 34dhpha[c] ,"Water+Nicotinamide adenine dinucleotide+3,4-Dihydroxyphenylacetaldehyde = > 2proton+Nicotinamide adenine dinucleotide - reduced+(3,4-dihydroxyphenyl)acetate",4
52,34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",1,h2o[c] + nadp[c] + 34dhpac[c]  <=> 2 h[c] + nadph[c] + 34dhpha[c] ,"Water+Nicotinamide adenine dinucleotide phosphate+3,4-Dihydroxyphenylacetaldehyde <  = > 2proton+Nicotinamide adenine dinucleotide phosphate - reduced+(3,4-dihydroxyphenyl)acetate",4
53,34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",0,h2o[c] + nad[c] + 34dhmald[c]  => 2 h[c] + nadh[c] + 34dhoxmand[c] ,"Water+Nicotinamide adenine dinucleotide+3,4-Dihydroxymandelaldehyde = > 2proton+Nicotinamide adenine dinucleotide - reduced+3,4-Dihydroxymandelate",4
54,34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",1,h2o[c] + nadp[c] + 34dhmald[c]  <=> 2 h[c] + nadph[c] + 34dhoxmand[c] ,"Water+Nicotinamide adenine dinucleotide phosphate+3,4-Dihydroxymandelaldehyde <  = > 2proton+Nicotinamide adenine dinucleotide phosphate - reduced+3,4-Dihydroxymandelate",4
55,34HPLFM,3-(4-hydroxyphenyl-)lactate formation,0,h[m] + nadh[m] + 34hpp[m]  => nad[m] + 34hpl[m] ,proton+Nicotinamide adenine dinucleotide - reduced+3-(4-hydroxyphenyl)pyruvate = > Nicotinamide adenine dinucleotide+3-(4-hydroxyphenyl)lactate,2
56,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,0,o2[c] + 34hpp[c]  => co2[c] + hgentis[c] ,O2+3-(4-hydroxyphenyl)pyruvate = > carbon dioxide+homogentisate,4
57,35CGMPtn,35cGMP nuclear transport,1,35cgmp[c]  <=> 35cgmp[n] ,"3',5'-cyclic GMP(1-) <  = > 3',5'-cyclic GMP(1-)",2
58,3AIBt,3-amino-isobutyrate transport,0,3aib[c]  => 3aib[e] ,(S)-3-aminoisobutyric acid = > (S)-3-aminoisobutyric acid,2
59,3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial",1,2mop[m] + glu_L[m]  <=> akg[m] + 3aib[m] ,2-methyl-3-oxopropanoate+L-glutamate(1-) <  = > 2-Oxoglutarate+(S)-3-aminoisobutyric acid,2
60,3AIBtm,"3-amino-isobutyrate transport, mitochondrial",0,3aib[m]  => 3aib[c] ,(S)-3-aminoisobutyric acid = > (S)-3-aminoisobutyric acid,2
61,3DPHBH1,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH),0,h[m] + o2[m] + nadh[m] + 3dphb[m]  => h2o[m] + nad[m] + 3dpdhb[m] ,"proton+O2+Nicotinamide adenine dinucleotide - reduced+3-Decaprenyl-4-hydroxybenzoate = > Water+Nicotinamide adenine dinucleotide+3-Decaprenyl-4,5-dihdydroxybenzoate",2
62,3DPHBH2,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH),0,h[m] + nadph[m] + o2[m] + 3dphb[m]  => h2o[m] + nadp[m] + 3dpdhb[m] ,"proton+Nicotinamide adenine dinucleotide phosphate - reduced+O2+3-Decaprenyl-4-hydroxybenzoate = > Water+Nicotinamide adenine dinucleotide phosphate+3-Decaprenyl-4,5-dihdydroxybenzoate",2
63,3DSPHR,3-Dehydrosphinganine reductase,0,h[c] + nadph[c] + 3dsphgn[c]  => nadp[c] + sphgn[c] ,proton+Nicotinamide adenine dinucleotide phosphate - reduced+(2S)-1-hydroxy-3-oxooctadecan-2-aminium = > Nicotinamide adenine dinucleotide phosphate+sphinganine(1+),4
64,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",0,o2[c] + 3hanthrn[c]  => h[c] + cmusa[c] ,"O2+3-hydroxyanthranilate = > proton+cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioate",4
65,3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",1,h2o[m] + b2coa[m]  <=> 3hbcoa_R[m] ,Water+crotonoyl-CoA(4-) <  = > (R)-3-hydroxybutanoyl-CoA(4-),2
66,3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",0,h2o[m] + 3hibutcoa[m]  => h[m] + coa[m] + 3hmp[m] ,Water+(S)-3-Hydroxyisobutyryl-CoA = > proton+Coenzyme A+3-hydroxy-2-methylpropanoate,2
67,3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,0,akg[c] + hLkynr[c]  => 42A3HP24DB[c] + glu_L[c] ,"2-Oxoglutarate+3-hydroxy-L-kynurenine = > 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate+L-glutamate(1-)",2
68,3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,0,h[c] + 34dhphe[c]  => co2[c] + dopa[c] ,proton+L-dopa = > carbon dioxide+dopaminium(1+),4
69,3HPCOAHYD,3-hydroxyisobutyryl-Coenzyme A hydrolase,0,h2o[c] + 3hpcoa[c]  => h[c] + 3hpp[c] + coa[c] ,Water+3-hydroxypropanoyl-CoA(4-) = > proton+3-hydroxypropionate+Coenzyme A,4
70,3HPPD,3-hydroxypropionate dehydrogenase,1,nad[c] + 3hpp[c]  <=> h[c] + nadh[c] + msa[c] ,Nicotinamide adenine dinucleotide+3-hydroxypropionate <  = > proton+Nicotinamide adenine dinucleotide - reduced+3-oxopropanoate,2
71,3HXKYNDCL,3-Hydroxykynurenamine decarboxy-lyase,0,h[c] + hLkynr[c]  => co2[c] + 3hxkynam[c] ,proton+3-hydroxy-L-kynurenine = > carbon dioxide+3-Hydroxykynurenamine,1
72,3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),0,o2[c] + 3hxkynam[c]  => h2o2[c] + nh4[c] + 48dhoxquin[c] ,"O2+3-Hydroxykynurenamine = > Hydrogen peroxide+Ammonium+quinoline-4,8-diol",1
73,3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,1,h2o[c] + nad[c] + 3mox4hpac[c]  <=> 2 h[c] + nadh[c] + homoval[c] ,Water+Nicotinamide adenine dinucleotide+(4-hydroxy-3-methoxyphenyl)acetaldehyde <  = > 2proton+Nicotinamide adenine dinucleotide - reduced+Homovanillate,1
74,3MLDAt,3MLDA extracellular transport via diffusion,1,3mlda[c]  <=> 3mlda[e] ,3-Methylimidazoleacetic acid <  = > 3-Methylimidazoleacetic acid,2
75,3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,0,h[c] + 3mob[c]  => h[m] + 3mob[m] ,proton+3-methyl-2-oxobutanoate = > proton+3-methyl-2-oxobutanoate,4
76,3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,0,h[c] + 3mop[c]  => h[m] + 3mop[m] ,proton+3-methyl-2-oxopentanoate = > proton+3-methyl-2-oxopentanoate,4
77,3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,0,h2o[c] + nad[c] + 3m4hpga[c]  => 2 h[c] + nadh[c] + 3mox4hoxm[c] ,Water+Nicotinamide adenine dinucleotide+3-Methoxy-4-hydroxyphenylglycolaldehyde = > 2proton+Nicotinamide adenine dinucleotide - reduced+3-Methoxy-4-hydroxymandelate,2
78,3MOX4HOXPGALDOX_NADP_,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,1,h2o[c] + nadp[c] + 3m4hpga[c]  <=> 2 h[c] + nadph[c] + 3mox4hoxm[c] ,Water+Nicotinamide adenine dinucleotide phosphate+3-Methoxy-4-hydroxyphenylglycolaldehyde <  = > 2proton+Nicotinamide adenine dinucleotide phosphate - reduced+3-Methoxy-4-hydroxymandelate,2
79,3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),0,h2o[c] + o2[c] + 3moxtyr[c]  => h2o2[c] + nh4[c] + 3mox4hpac[c] ,Water+O2+3-Methoxytyramine = > Hydrogen peroxide+Ammonium+(4-hydroxy-3-methoxyphenyl)acetaldehyde,4
80,3NTD7l,"3-nucleotidase (AMP), lysosome",0,3amp[l] + h2o[l]  => adn[l] + pi[l] ,3'-AMP(2-)+Water = > Adenosine+hydrogenphosphate,4
81,3SALAASPm,cysteinesulfinate-aspartate mitochondrial shuttle,1,3sala[m] + asp_L[c]  <=> 3sala[c] + asp_L[m] ,3-Sulfino-L-alanine+L-aspartate(1-) <  = > 3-Sulfino-L-alanine+L-aspartate(1-),2
82,3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,0,2 h[c] + 3sala[c]  => co2[c] + hyptaur[c] ,2proton+3-Sulfino-L-alanine = > carbon dioxide+Hypotaurine,4
83,3SALAOX,cysteinesulfinic acid oxidase,0,o2[c] + 2 h[c] + 2 3sala[c]  => 2 Lcyst[c] ,O2+2proton+23-Sulfino-L-alanine = > 2L-cysteate(1-),2
84,3SALATAi,3-sulfino-alanine transaminase (irreversible),0,h[c] + akg[c] + 3sala[c]  => glu_L[c] + 3snpyr[c] ,proton+2-Oxoglutarate+3-Sulfino-L-alanine = > L-glutamate(1-)+3-Sulfinopyruvate,2
85,3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",0,h[m] + akg[m] + 3sala[m]  => glu_L[m] + 3snpyr[m] ,proton+2-Oxoglutarate+3-Sulfino-L-alanine = > L-glutamate(1-)+3-Sulfinopyruvate,2
86,3SPYRSP,3-sulfinopyruvate hydrolase (spotaneous reaction),0,h2o[c] + 3snpyr[c]  => h[c] + pyr[c] + so3[c] ,Water+3-Sulfinopyruvate = > proton+pyruvate+Sulfite,2
87,3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial",0,h2o[m] + 3snpyr[m]  => h[m] + pyr[m] + so3[m] ,Water+3-Sulfinopyruvate = > proton+pyruvate+Sulfite,2
88,41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0,h2o[c] + o2[c] + adrnl[c]  => h2o2[c] + 34dhmald[c] + mma[c] ,"Water+O2+Adrenaline = > Hydrogen peroxide+3,4-Dihydroxymandelaldehyde+methylammonium",4
89,41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0,h2o[c] + o2[c] + nrpphr[c]  => h2o2[c] + nh4[c] + 34dhmald[c] ,"Water+O2+Norepinephrine = > Hydrogen peroxide+Ammonium+3,4-Dihydroxymandelaldehyde",4
90,42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0,h2o[c] + o2[c] + dopa[c]  => h2o2[c] + nh4[c] + 34dhpac[c] ,"Water+O2+dopaminium(1+) = > Hydrogen peroxide+Ammonium+3,4-Dihydroxyphenylacetaldehyde",4
91,4ABUTtm,4-aminobutanoate mitochondrial transport via diffusion,1,4abut[c]  <=> 4abut[m] ,4-Aminobutanoate <  = > 4-Aminobutanoate,2
92,4HBZCOAFm,4-hydroxybenzoyl-CoA formation,0,h2o[m] + coa[m] + nad[m] + coucoa[m]  => h[m] + nadh[m] + 4hbzcoa[m] + accoa[m] ,Water+Coenzyme A+Nicotinamide adenine dinucleotide+4-coumaroyl-CoA(4-) = > proton+Nicotinamide adenine dinucleotide - reduced+4-hydroxybenoyl-CoA+Acetyl-CoA,2
93,4HBZFm,4-hydroxybenzoate formation,0,h2o[m] + 4hbzcoa[m]  => h[m] + coa[m] + 4hbz[m] ,Water+4-hydroxybenoyl-CoA = > proton+Coenzyme A+4-hydroxybenzoate,2
94,4HDEBRISOQUINEte,xenobiotic transport,1,4hdebrisoquine[e]  <=> 4hdebrisoquine[c] ,4 hydroxy debrisoquine <  = > 4 hydroxy debrisoquine,2
95,4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial",1,h2o[m] + nad[m] + 4hglusa[m]  <=> 2 h[m] + nadh[m] + e4hglu[m] ,Water+Nicotinamide adenine dinucleotide+L-4-hydroxyglutamic semialdehyde <  = > 2proton+Nicotinamide adenine dinucleotide - reduced+erythro-4-hydroxy-L-glutamate(1-),1
96,4HOXPACDOX_NADP_,4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase,1,h2o[c] + nadp[c] + 4hoxpacd[c]  <=> 2 h[c] + nadph[c] + 4hphac[c] ,Water+Nicotinamide adenine dinucleotide phosphate+(4-hydroxyphenyl)acetaldehyde <  = > 2proton+Nicotinamide adenine dinucleotide phosphate - reduced+4-hydroxyphenylacetate,2
97,4MOPt2im,4-methyl-2-oxopentanoate mitochondrial transport  via proton symport,0,h[c] + 4mop[c]  => h[m] + 4mop[m] ,proton+4-methyl-2-oxopentanoate = > proton+4-methyl-2-oxopentanoate,4
98,4MPTNLte,4-methylpentanal transport,1,4mptnl[c]  <=> 4mptnl[e] ,4-methylpentanal <  = > 4-methylpentanal,2
99,4MPTNLtm,4-methylpentanal transport (mitochondria),1,4mptnl[c]  <=> 4mptnl[m] ,4-methylpentanal <  = > 4-methylpentanal,2
100,4MPTNLtr,4-methylpentanal transport (ER),1,4mptnl[c]  <=> 4mptnl[r] ,4-methylpentanal <  = > 4-methylpentanal,2
101,4MTOLBUTAMIDEte,xenobiotic transport,1,4mtolbutamide[e]  <=> 4mtolbutamide[c] ,4 hydroxy tolbutamide <  = > 4 hydroxy tolbutamide,2
102,4NPHSFte,xenobiotic transport,1,4nphsf[e]  <=> 4nphsf[c] ,4-Nitrophenyl sulfate <  = > 4-Nitrophenyl sulfate,2
103,4NPHSULT,4-Nitrophenol Sulfotransferase,0,paps[c] + 4nph[c]  => h[c] + pap[c] + 4nphsf[c] ,"(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate+4-nitrophenolate = > proton+adenosine 3',5'-bismonophosphate(4-)+4-Nitrophenyl sulfate",4
104,4NPHte,xenobiotic transport,1,4nph[e]  <=> 4nph[c] ,4-nitrophenolate <  = > 4-nitrophenolate,2
105,4PYRDX,4-Pyridoxal secretion,0,h2o[c] + atp[c] + 4pyrdx[c]  => adp[c] + h[c] + pi[c] + 4pyrdx[e] ,Water+ATP+4-pyridoxate = > ADP+proton+hydrogenphosphate+4-pyridoxate,2
106,5ADTSTSTERONEGLCte,glucuronidated compound transport,0,h2o[c] + atp[c] + 5adtststeroneglc[c]  => adp[c] + h[c] + pi[c] + 5adtststeroneglc[e] ,Water+ATP+5alpha-Dihydrotestosterone glucuronide = > ADP+proton+hydrogenphosphate+5alpha-Dihydrotestosterone glucuronide,2
