rid,EHMN,old_rid,Metabolite name,other
150,C01161,565,"(3,4-dihydroxyphenyl)acetate",
151,C00355,273,L-dopa,
152,C00355,273,L-dopa,
153,C03672,,3-(4-hydroxyphenyl)lactate,
154,C01179,576,3-(4-hydroxyphenyl)pyruvate,
155,C01179,576,3-(4-hydroxyphenyl)pyruvate,
156,C01179,576,3-(4-hydroxyphenyl)pyruvate,
157,C00942,501,"3',5'-cyclic GMP(1-)",
158,C00942,501,"3',5'-cyclic GMP(1-)",
159,C00942,501,"3',5'-cyclic GMP(1-)",
160,C00942,501,"3',5'-cyclic GMP(1-)",
161,C01060,539,"3,5-diiodo-L-tyrosine",
162,C03284,888,(S)-3-aminoisobutyric acid,
163,C03284,888,(S)-3-aminoisobutyric acid,
164,C03284,888,(S)-3-aminoisobutyric acid,
165,C01205,590,D-3-Amino-isobutanoate,
166,C01205,590,D-3-Amino-isobutanoate,
167,C01205,590,D-3-Amino-isobutanoate,
168,C01367,,3'-AMP(2-),
169,[],,3-hydroxy butyryl carnitine,
170,[],,3-hydroxy butyryl carnitine,
171,[],,3-hydroxydodecanoylcarnitine,
172,[],,3-hydroxydodecanoylcarnitine,
173,C05280,1171,"3,6-dodecadienoylcoa",
174,C05280,1171,"3,6-dodecadienoylcoa",
175,[],,3-hydroxydecanoylcarnitine,
176,[],,3-hydroxydecanoylcarnitine,
177,[],,"3,7-decadienoylcoa",
178,[],,"3,7-decadienoylcoa",
179,C00618,,3-dehydro-L-gulonate,
180,[],,"3,7,10,13,16-docosapentenoylcoa",
181,[],,"3,7,10,13,16-docosapentenoylcoa",
182,[],,"3,6,9-dodecatrienoylcoa",
183,[],,"3,6,9-dodecatrienoylcoa",
184,[],,"3-Decaprenyl-4,5-dihdydroxybenzoate",
185,C05300,1177,3-Decaprenyl-4-hydroxy-5-methoxybenzoate,
186,[],,3-Decaprenyl-4-hydroxybenzoate,
187,C02934,844,(2S)-1-hydroxy-3-oxooctadecan-2-aminium,
188,C11947,1559,"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",
189,C11947,1559,"3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA",
190,C00632,404,3-hydroxyanthranilate,
191,C01144,560,(S)-3-hydroxybutanoyl-CoA(4-),
192,C01144,560,(S)-3-hydroxybutanoyl-CoA(4-),
193,C03561,929,(R)-3-hydroxybutanoyl-CoA(4-),
194,C03561,929,(R)-3-hydroxybutanoyl-CoA(4-),
195,C05264,1157,(S)-3-Hydroxydecanoyl-CoA,
196,C05264,1157,(S)-3-Hydroxydecanoyl-CoA,
197,C05262,1155,(S)-3-Hydroxydodecanoyl-CoA,
198,C05262,1155,(S)-3-Hydroxydodecanoyl-CoA,
199,[],,3-hydroxyhexadecenoylcoa,
200,[],,3-hydroxyhexadecenoylcoa,
201,[],,3-hydroxyhexadecenoylcarnitine,
202,[],,3-hydroxyhexadecenoylcarnitine,
203,C05258,1151,3-hydroxyhexadecanoylcoa,
204,C05258,1151,3-hydroxyhexadecanoylcoa,
205,[],,3-hydroxyhexadecanoylcarnitine,
206,[],,3-hydroxyhexadecanoylcarnitine,
207,[],,"3,7,10,13-hexadecatetraenoylcoa",
208,[],,"3,7,10,13-hexadecatetraenoylcoa",
209,[],,"3,7,10-hexadecatrienoylcoa",
210,[],,"3,7,10-hexadecatrienoylcoa",
211,C06000,1411,(S)-3-Hydroxyisobutyryl-CoA,
212,C04405,1031,"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)",
213,C01188,581,3-hydroxy-2-methylpropanoate,
214,[],,(S)-3-Hydroxyoctadecanoyl-CoA,
215,[],,(S)-3-Hydroxyoctadecanoyl-CoA,
216,C05668,1301,3-hydroxypropanoyl-CoA(4-),
217,C05668,1301,3-hydroxypropanoyl-CoA(4-),
218,C05668,1301,3-hydroxypropanoyl-CoA(4-),
219,C01013,522,3-hydroxypropionate,
220,C01013,522,3-hydroxypropionate,
221,C05260,1153,(S)-3-Hydroxytetradecanoyl-CoA,
222,C05260,1153,(S)-3-Hydroxytetradecanoyl-CoA,
223,C01259,612,"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine",
224,C01259,612,"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine",
225,C05636,1286,3-Hydroxykynurenamine,
226,C02515,794,3-iodo-L-tyrosine,
227,C05998,1409,3-hydroxyisovalerylcoa,
228,C05998,1409,3-hydroxyisovalerylcoa,
229,[],,3-hydroxy-isovaleryl carnitine,
230,[],,3-hydroxy-isovaleryl carnitine,
231,C05583,1273,3-Methoxy-4-hydroxyphenylglycolaldehyde,
232,C05583,1273,3-Methoxy-4-hydroxyphenylglycolaldehyde,
233,C03069,869,3-methylbut-2-enoyl-CoA(4-),
234,C03231,881,trans-3-methylglutaconyl-CoA(5-),
235,C05828,1353,3-Methylimidazoleacetic acid,
236,C05828,1353,3-Methylimidazoleacetic acid,
237,C05827,1352,1-methylimidazole-4-acetaldehyde,
238,C00141,127,3-methyl-2-oxobutanoate,
239,C00141,127,3-methyl-2-oxobutanoate,
240,C00141,127,3-methyl-2-oxobutanoate,
241,C00671,425,3-methyl-2-oxopentanoate,
242,C03465,914,3-methyl-2-oxopentanoate,
243,C00671,425,3-methyl-2-oxopentanoate,
244,C05584,1274,3-Methoxy-4-hydroxymandelate,
245,C05584,1274,3-Methoxy-4-hydroxymandelate,
246,C05581,1271,(4-hydroxy-3-methoxyphenyl)acetaldehyde,
247,C05581,1271,(4-hydroxy-3-methoxyphenyl)acetaldehyde,
248,C05587,1276,3-Methoxytyramine,
249,[],,3-hydroxyoctadecadienoylcoa,
250,[],,3-hydroxyoctadecadienoylcoa,
251,[],,3-hydroxyoctadecadienoylcarnitine,
252,[],,3-hydroxyoctadecadienoylcarnitine,
253,[],,3-hydroxyoctadecanoyl carnitine,
254,[],,3-hydroxyoctadecanoyl carnitine,
255,[],,3-hydroxyoctadecenoylcoa,
256,[],,3-hydroxyoctadecenoylcoa,
257,[],,3-hydroxy-octadecenoyl carnitine,
258,[],,3-hydroxy-octadecenoyl carnitine,
259,[],,"3,6,9,12-octadecatetraenoylcoa",
260,[],,"3,6,9,12-octadecatetraenoylcoa",
261,[],,"3,6,9,12,15-octadecapentenoylcoa",
262,C05265,1158,3-Oxodecanoyl-CoA,
263,C05265,1158,3-Oxodecanoyl-CoA,
264,C05263,1156,3-Oxododecanoyl-CoA,
265,C05263,1156,3-Oxododecanoyl-CoA,
266,C05259,1152,3-oxopalmitoyl-CoA(4-),
267,C05259,1152,3-oxopalmitoyl-CoA(4-),
268,CE2252,1820,3-Oxooctadecanoyl-CoA,
269,CE2252,1820,3-Oxooctadecanoyl-CoA,
270,CE2252,1820,3-Oxooctadecanoyl-CoA,
271,CE2252,1820,3-Oxooctadecanoyl-CoA,
272,[],,3-Oxohexacosyl-CoA,
273,C05261,1154,3-Oxotetradecanoyl-CoA,
274,C05261,1154,3-Oxotetradecanoyl-CoA,
275,C05696,1311,3'-Phosphoadenylylselenate,
276,C00197,170,3-Phospho-D-glycerate,
277,C00197,170,3-Phospho-D-glycerate,
278,C03232,882,3-phosphonatooxypyruvate(3-),
279,C00606,393,3-Sulfino-L-alanine,
280,C00606,393,3-Sulfino-L-alanine,
281,C05527,1254,3-Sulfinopyruvate,
282,C05527,1254,3-Sulfinopyruvate,
283,C05528,1255,3-sulfonatopyruvate(2-),
284,C05528,1255,3-sulfonatopyruvate(2-),
285,[],,3-hydroxy-tetradecanoyl carnitine,
286,[],,3-hydroxy-tetradecanoyl carnitine,
287,[],,3-hydroxy tetradecenoyl-7-coa,
288,[],,3-hydroxy tetradecenoyl-7-coa,
289,[],,3-hydroxy tetradecenoyl-7-carnitine,
290,[],,3-hydroxy tetradecenoyl-7-carnitine,
291,[],,"3-hydroxy trans7,10-hexadecadienoylcoa",
292,[],,"3-hydroxy trans7,10-hexadecadienoylcoa",
293,[],,"3-hydroxy trans7,10-hexadecadienoyl carnitine",
294,[],,"3-hydroxy trans7,10-hexadecadienoyl carnitine",
295,[],,"3-hydroxy trans5,8tetradecadienoyl coa",
296,[],,"3-hydroxy trans5,8tetradecadienoyl coa",
297,[],,"3-hydroxy trans5,8tetradecadienoyl carnitine",
298,[],,"3-hydroxy trans5,8tetradecadienoyl carnitine",
299,C05100,1125,3-Ureidoisobutyrate,
300,C01368,640,3'-UMP(2-),
301,C01368,640,3'-UMP(2-),
302,C05645,1293,"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate",
303,C11455,1535,"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",
304,C11455,1535,"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",
305,C05108,1126,14-demethyllanosterol,
306,C05639,1289,"4,6-Dihydroxyquinoline",
307,C05637,1287,"quinoline-4,8-diol",
308,C02946,847,4-acetamidobutanoate,
309,C02946,847,4-acetamidobutanoate,
310,C00334,258,4-Aminobutanoate,
311,C00334,258,4-Aminobutanoate,
312,C00334,258,4-Aminobutanoate,
313,C00334,258,4-Aminobutanoate,
314,C00334,258,4-Aminobutanoate,
315,C00555,375,4-Aminobutanal,
316,C00555,375,4-Aminobutanal,
317,C00555,375,4-Aminobutanal,
318,C01252,610,"4-(2-aminophenyl)-2,4-dioxobutanoate",
319,C01061,540,4-fumarylacetoacetate(2-),
320,C01127,,4-hydroxy-2-oxoglutarate(2-),
321,C01127,,4-hydroxy-2-oxoglutarate(2-),
322,C00156,,4-hydroxybenzoate,
323,C02949,,4-hydroxybenoyl-CoA,
324,[],,4 hydroxy debrisoquine,
325,[],,4 hydroxy debrisoquine,
326,[],,"4,7,10,13-hexadecatetraenoylcoa",
327,[],,"4,7,10,13-hexadecatetraenoylcoa",
328,[],,"4,7,10-hexadecatrienoylcoa",
329,[],,"4,7,10-hexadecatrienoylcoa",
330,C05938,1386,L-4-hydroxyglutamic semialdehyde,
331,C03765,958,(4-hydroxyphenyl)acetaldehyde,
332,C00642,413,4-hydroxyphenylacetate,
333,C00642,413,4-hydroxyphenylacetate,
334,C01157,563,trans-4-hydroxy-L-proline,
335,C01157,563,trans-4-hydroxy-L-proline,
336,C01157,563,trans-4-hydroxy-L-proline,
337,C01157,563,trans-4-hydroxy-L-proline,
338,C03680,939,4-Imidazolone-5-propanoate,
339,C01036,532,4-maleylacetoacetate,
340,C00233,193,4-methyl-2-oxopentanoate,
341,C00233,193,4-methyl-2-oxopentanoate,
342,C00233,193,4-methyl-2-oxopentanoate,
343,C02373,774,4-methylpentanal,
344,C02373,774,4-methylpentanal,
345,C02373,774,4-methylpentanal,
346,C02373,774,4-methylpentanal,
347,[],,4 hydroxy tolbutamide,
348,[],,4 hydroxy tolbutamide,
349,C15808,,4-Methylzymosterol intermediate 1,
350,C15816,,4-Methylzymosterol intermediate 2,
351,C00870,482,4-nitrophenolate,
352,C00870,482,4-nitrophenolate,
353,C00186,162,4-Nitrophenyl sulfate,
354,C00186,162,4-Nitrophenyl sulfate,
355,C03492,917,D-4'-Phosphopantothenate,
356,C03492,917,D-4'-Phosphopantothenate,
357,C04352,1025,N-((R)-4-Phosphopantothenoyl)-L-cysteine,
358,C04352,1025,N-((R)-4-Phosphopantothenoyl)-L-cysteine,
359,C00847,476,4-pyridoxate,
360,C00847,476,4-pyridoxate,
361,C01149,562,4-trimethylammoniobutanal,
362,C01149,562,4-trimethylammoniobutanal,
363,C01181,578,4-(trimethylammonio)butanoate,
364,C04185,1005,"5,6-dihydroxyindole-2-carboxylate",
365,C00906,492,"5,6-dihydrothymine",
366,C00906,492,"5,6-dihydrothymine",
367,C00429,313,"5,6-dihydrouracil",
368,C01110,550,5-amino-2-oxopentanoic acid,
369,C03917,981,17beta-hydroxy-5alpha-androstan-3-one,
370,C03917,981,17beta-hydroxy-5alpha-androstan-3-one,
371,C03917,981,17beta-hydroxy-5alpha-androstan-3-one,
372,C03917,981,17beta-hydroxy-5alpha-androstan-3-one,
373,C03917,981,17beta-hydroxy-5alpha-androstan-3-one,
374,C03033,867,5alpha-Dihydrotestosterone glucuronide,
375,C03033,867,5alpha-Dihydrotestosterone glucuronide,
376,C03033,867,5alpha-Dihydrotestosterone glucuronide,
377,CE6032,2384,5alpha-Dihydrotestosterone sulfate,
378,CE6032,2384,5alpha-Dihydrotestosterone sulfate,
379,CE6032,2384,5alpha-Dihydrotestosterone sulfate,
380,CE6032,2384,5alpha-Dihydrotestosterone sulfate,
381,C04751,1091,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,
382,C00430,314,5-Amino-4-oxopentanoate,
383,C00430,314,5-Amino-4-oxopentanoate,
384,[],,pentaglutamyl folate (DHF),
385,[],,pentaglutamyl folate (DHF),
386,[],,pentaglutamyl folate (DHF),
387,[],,pentaglutamyl folate (DHF),
388,C01143,559,(R)-5-Diphosphomevalonate,
389,C01143,559,(R)-5-Diphosphomevalonate,
390,[],,"5,8,11,14,17-eicosapentenoylcoa",
391,C00664,419,5-Formiminotetrahydrofolate,
392,C03479,916,5-formyltetrahydrofolate(2-),
393,C03479,916,5-formyltetrahydrofolate(2-),
394,C03479,916,5-formyltetrahydrofolate(2-),
395,C03771,959,5-guanidino-2-oxopentanoic acid,
396,[],,5 hydroxy omeprazole,
397,[],,5 hydroxy omeprazole,
398,C05634,1284,(5-hydroxyindol-3-yl)acetaldehyde,
399,C05634,1284,(5-hydroxyindol-3-yl)acetaldehyde,
400,C05635,1285,5-Hydroxyindoleacetate,
401,C05635,1285,5-Hydroxyindoleacetate,
402,C05648,1295,5-hydroxy-N-formylkynurenine,
403,C05356,1190,5(S)-HPETE(1-),
404,C05356,1190,5(S)-HPETE(1-),
405,C00643,414,5-hydroxy-L-tryptophan,
406,C00643,414,5-hydroxy-L-tryptophan,
407,C05651,1297,5-hydroxykynurenine,
408,C05638,1288,5-Hydroxykynurenamine,
409,C04188,1006,5-Methylthio-5-deoxy-D-ribose 1-phosphate,
410,C04582,,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,
411,C05660,1299,5-Methoxyindoleacetate,
412,C00170,152,5-Methylthioadenosine,
413,C00170,152,5-Methylthioadenosine,
414,C00440,318,5-Methyltetrahydrofolate,
415,C00440,318,5-Methyltetrahydrofolate,
416,C00440,318,5-Methyltetrahydrofolate,
417,C00440,318,5-Methyltetrahydrofolate,
418,C01879,714,5-oxoprolinate,
419,C01879,714,5-oxoprolinate,
420,C01107,549,(R)-5-phosphonatomevalonate(3-),
421,C01107,549,(R)-5-phosphonatomevalonate(3-),
422,[],,"5,8,11-tetradecatrienoylcoa",
423,[],,"5,8,11-tetradecatrienoylcoa",
424,[],,pentaglutamyl folate (THF),
425,[],,pentaglutamyl folate (THF),
426,[],,pentaglutamyl folate (THF),
427,[],,pentaglutamyl folate (THF),
428,C03239,883,6-amino-2-oxohexanoic acid,
429,[],,hexaglutamyl folate (DHF),
430,[],,hexaglutamyl folate (DHF),
431,[],,hexaglutamyl folate (DHF),
432,[],,hexaglutamyl folate (DHF),
433,C05643,1292,6-Hydroxymelatonin,
434,C14497,1579,6 beta hydroxy testosterone,
435,C14497,1579,6 beta hydroxy testosterone,
436,C14497,1579,6 beta hydroxy testosterone,
437,C00345,266,6-Phospho-D-gluconate,
438,C00345,266,6-Phospho-D-gluconate,
439,C01236,602,"6-phospho-D-glucono-1,5-lactone",
440,C01236,602,"6-phospho-D-glucono-1,5-lactone",
441,C03684,941,"6-pyruvoyl-5,6,7,8-tetrahydropterin",
442,C03684,941,"6-pyruvoyl-5,6,7,8-tetrahydropterin",
443,[],,hexaglutamyl folate  (THF),
444,[],,hexaglutamyl folate  (THF),
445,[],,hexaglutamyl folate  (THF),
446,[],,hexaglutamyl folate  (THF),
447,C01164,566,"cholesta-5,7-dien-3beta-ol",
448,C01164,566,"cholesta-5,7-dien-3beta-ol",
449,[],,heptaglutamyl folate (DHF),
450,[],,heptaglutamyl folate (DHF),
451,[],,heptaglutamyl folate (DHF),
452,[],,heptaglutamyl folate (DHF),
453,[],,heptaglutamyl folate (THF),
454,[],,heptaglutamyl folate (THF),
455,[],,heptaglutamyl folate (THF),
456,[],,heptaglutamyl folate (THF),
457,[],,fatty acid 9-cis-retinol,
458,[],,fatty acid 9-cis-retinol,
459,C00332,257,Acetoacetyl-CoA,
460,C00332,257,Acetoacetyl-CoA,
461,C00332,257,Acetoacetyl-CoA,
462,C01888,716,ammonioacetone,
463,C01888,716,ammonioacetone,
464,C00532,363,L-arabinitol,
465,C00532,363,L-arabinitol,
466,C00033,32,acetate,
467,C00033,32,acetate,
468,C00033,32,acetate,
469,C00033,32,acetate,
470,C00033,32,acetate,
471,C00164,146,acetoacetate,
472,C00164,146,acetoacetate,
473,C00164,146,acetoacetate,
474,C00164,146,acetoacetate,
475,[],,Acetyl-ACP,
476,C00084,76,acetaldehyde,
477,C00084,76,acetaldehyde,
478,C00084,76,acetaldehyde,
479,C00084,76,acetaldehyde,
480,C00084,76,acetaldehyde,
481,C00024,23,Acetyl-CoA,
482,C00024,23,Acetyl-CoA,
483,C00024,23,Acetyl-CoA,
484,C00024,23,Acetyl-CoA,
485,C00024,23,Acetyl-CoA,
486,C00024,23,Acetyl-CoA,
487,C05235,,hydroxyacetone,
488,C00207,,acetone,
489,C00207,,acetone,
490,C00207,,acetone,
491,C04133,,N-acetyl-L-gamma-glutamyl phosphate(3-),
492,C01250,,2-acetamido-5-oxopentanoate,
493,[],,alpha GalNAc globoside,
494,[],,alpha GalNAc globoside,
495,[],,alpha GalNAc globoside,
496,C01132,554,N-acetyl-D-galactosamine,
497,C01132,554,N-acetyl-D-galactosamine,
498,C01132,554,N-acetyl-D-galactosamine,
499,[],,N-Acetyl-D-galactosamine 1-phosphate,
500,[],,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,
501,[],,Type IIIA glycolipid,
502,[],,Type IIIA glycolipid,
503,[],,Type IIIA glycolipid,
504,[],,Type IIIAb,
505,[],,Type IIIAb,
506,[],,Type IIIAb,
507,[],,(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,
508,[],,Type IA glycolipid,
509,C00140,126,N-acetyl-D-glucosamine,
510,C00140,126,N-acetyl-D-glucosamine,
511,C00140,126,N-acetyl-D-glucosamine,
512,C00140,126,N-acetyl-D-glucosamine,
513,C04256,1016,N-Acetyl-D-glucosamine 1-phosphate,
514,C00357,275,N-acetyl-D-glucosamine 6-phosphate(2-),
515,[],,beta GalNAc globoside,
516,[],,beta GalNAc globoside,
517,[],,beta GalNAc globoside,
518,[],,nLc7Cer,
519,[],,nLc5Cer,
520,[],,(Gal)3 (Glc)1 (GlcNAc)3 (Cer)1,
521,[],,GlcNAc-Gal globoside,
522,[],,N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide,
523,C00624,399,N-acetyl-L-glutamate(2-),
524,C01288,620,6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-),
525,C01996,728,acetylcholine,
526,C01996,728,acetylcholine,
527,C01996,728,acetylcholine,
528,C00645,415,N-acetyl-D-mannosamine,
529,C00645,415,N-acetyl-D-mannosamine,
530,C00645,415,N-acetyl-D-mannosamine,
531,C04257,1017,N-acetyl-D-mannosamine 6-phosphate(2-),
532,[],,"sialyl (1,3) sialyl (2,6) galactosylgloboside",
533,[],,"sialyl (1,3) sialyl (2,6) galactosylgloboside",
534,[],,"sialyl (1,3) sialyl (2,6) galactosylgloboside",
535,[],,"sialyl (2,3) sialyl (2,6) galactosylgloboside",
536,[],,"sialyl (2,3) sialyl (2,6) galactosylgloboside",
537,[],,"sialyl (2,3) sialyl (2,6) galactosylgloboside",
538,[],,"3',8'-LD1",
539,[],,"3',8'-LD1",
540,[],,"3',8'-LD1",
541,[],,disialyl galactosylgloboside,
542,[],,disialyl galactosylgloboside,
